abbrev,country_name,corp_tax,ed_1,ed_2,ed_3,ed_4,fdi_inward,immigration_pct,patent_pct,r_and_d,private_flow_pct,unemployment_rate,lab_util,gdp_empl,inv_pct,trust_in_gov,compensation_per_hr,fdi_flows,ease_of_doing_biz,ed_spending,wpop_pct,gdp,infl,lab_prod,work_prod
AUS,Australia,0.5948760351130231,0.016578749058025616,0.43201607501674477,0.29676724137931043,0.5124555160142348,0.8790806309905913,0.08887459535299438,0.10098067487272902,0.2977856017505365,0.0,0.18867596093897154,0.5811208850415237,0.4051355984981844,0.5332077682787603,0.3838276778402043,0.3302572072978092,0.7959912806282924,0.6868421052631577,0.8553583018165022,0.4424538919534913,0.06764387900260647,0.07666575976448013,69.19,117839.55
AUT,Austria,0.24827792007559743,,0.37419066755972313,0.6769396551724141,0.25667259786476865,0.8578125553245602,0.00957424566859133,0.2737814226480588,0.5718750884646012,0.1168832813240611,0.2060950623566729,0.3216433716861353,0.45409259621732095,0.6391047913538628,0.5209689807831924,0.32071104546673046,0.7805913936866619,0.5684210526315787,0.7713667688916598,0.5504717320902278,0.023839621270198806,0.09483174980278251,90.12,94439.7
BEL,Belgium,0.3806231815582026,0.23888470233609643,0.48738557713775393,0.3594827586206897,0.40880782918149466,0.8735223303668147,0.02248174508897899,0.21090091310600986,0.5799381049757573,0.2774436429147005,0.22933827775141138,0.1664158855693132,0.5537775166588971,0.5846045347470495,0.28234554399451633,0.20253953116125858,0.8301344635759733,0.3657894736842099,0.916161222858329,0.3529512681359794,0.0295529911708525,0.09516369450361263,91.63,105559.02
CAN,Canada,0.42834406783875856,0.3074604370761115,0.12301853092208076,0.12586206896551727,1.0,0.8757963846765962,0.15207316214531302,0.14032736620184555,0.28361858619330077,0.09638763171777187,0.30405692481764124,0.5136908617130838,0.34789171879743575,0.5461183054462875,0.5488250312617995,0.3224759113878094,0.8343215361734408,0.6184210526315789,0.6984127112542302,0.5251843684616603,0.08954759997129579,0.08655631442020056,66.95,89277.1
CHE,Switzerland,0.2932385049610822,0.016514242652599848,0.2847171422192453,0.541554790948276,0.4588231694839857,0.731757439648606,0.009627261675901486,0.9433978540676211,0.5933443626211716,0.48688181904940864,0.15578732991627686,0.5273320339051902,0.11871045474657174,0.7134166022259356,0.9999999999999999,0.15287079389582714,0.46854355522859903,0.4578947368421046,0.1790462957640644,0.7203919112974144,0.029195240084602447,0.0021355098226937957,85.43,168231.92
COL,Colombia,0.49252729216919905,0.5666917859834212,0.7195802634516633,0.2200431034482759,0.23153914590747326,0.8923224747673952,,0.0,0.0,,0.6971844303108161,0.7560587229979068,0.0,0.3694002607108432,0.09206394392615486,0.6935567202668984,0.8029194269001957,0.09210526315789469,0.8386227253597414,0.627863150454998,0.03779794893919373,0.1458813910708547,18.92,15111.42
CRI,Costa Rica,0.21376171884713896,0.963074604370761,0.999330207635633,0.02543103448275863,0.03558718861209964,0.8998523667309901,,0.0012921573362683347,0.003507621711478781,,0.8434325007390897,0.49193892060977185,0.09333069331076138,0.23035232206426987,0.2359608818997752,0.43802770180137585,0.7987379174736912,0.05789473684210489,0.4874371269308465,0.7836269341811619,0.004296605145399229,0.036006717145798686,30.3,35858.55
CZE,Czechia,0.3625941859597642,0.0,0.18999776735878549,1.0,0.12121886120996439,0.8931804237106342,0.14962828202694844,0.034544778383948704,0.32845925014158633,0.03626119886407092,0.0,0.5793607570518662,0.3004043122527324,0.7137029747499416,0.14199308812278194,0.5451379722655303,0.8241633215300828,0.4421052631578942,0.5842541104913028,0.35122030437589496,0.020907386351092946,0.17721942625535145,56.88,42519.39
DEU,Germany,0.16947255862532018,,0.3619111408796606,0.6911637931034483,0.24933274021352303,0.858912688312206,0.04102971969335886,0.38297942039814026,0.5646428002329791,0.3700703852627026,0.05832076385410395,0.3011130059724475,0.4021001460147806,0.5130062062406322,0.6011529840021155,0.2425062440984251,0.7915952713258249,0.6105263157894733,0.6382469408091868,0.38672477017991835,0.22267797387939367,0.0723839551250078,80.48,85906.81
DNK,Denmark,0.3028871260537637,,0.5016744809109176,0.41724137931034483,0.36699288256227747,0.8605692950220768,0.10372056157191936,0.41322950526103175,0.5176743156246599,0.18102685252869688,0.1838960376693735,0.2619241829728557,0.47947068995066655,0.4767580425341012,0.6846915969117112,0.17692035723782001,0.7955308473738478,0.9131578947368417,0.8442492121329993,0.3314512239476984,0.016196617915985617,0.05935309319314701,96.97,122810.05
