abbrev,country_name,corp_tax,ed_1,ed_2,ed_3,ed_4,fdi_inward,Immigration_pct,Patent_pct,r_and_d,private_flow_pct,unemployment_rate,lab_util,gdp_empl,inv_pct,trust_in_gov,compensation_per_hr ,fdi_flows,ease_of_doing_biz,ed_spending,wpop_pct,gdp,infl,lab_prod,work_prod
AUS,Australia,5.53375,0.00350,0.24190,0.33850,0.37610,2.710090098,0.27%,0.07%,1.798561333,-0.05%,5.148108,879.3096433,112085.6459,23%,48.04608686,,2.200480953,80.95,2.01047285,65.09053185,1532581.52,2.7654163,69.19,117839.55
AUT,Austria,2.7462,,0.21600,0.51490,0.26110,1.110100376,0.04%,0.19%,3.170525364,0.12%,5.3983334,743.2896869,120684.5921,25%,55.94134438,3.8826408,1.830183601,78.7,1.905719167,66.44210295,554725.422,3.2449448,90.12,94439.7
BEL,Belgium,3.8106,0.03300,0.26670,0.36760,0.32950,2.291941131,0.07%,0.15%,3.210885061,0.34%,5.7322222,661.9183356,138193.5348,24%,42.20373621,2.817704,3.021469463,74.85,2.08630585,63.97063203,682266.759,3.25370716,91.63,105559.02
CAN,Canada,4.1944,0.04210,0.10350,0.25920,0.59530,2.463017423,0.45%,0.10%,1.727647866,0.09%,6.8055556,843.962346,102031.1682,23%,57.54502385,3.8985454,3.122149546,79.65,1.81473135,66.12569531,2021545.11,3.02649774,66.95,89277.1
CHE,Switzerland,3.1078,0.00349,0.17592,0.45208,0.35199,-8.37298087,0.04%,0.65%,3.277990529,0.63%,4.6756628,851.1131453,61777.11972,27%,83.51927441,2.3700998,-5.673149944,76.6,1.166981,68.56822585,674280.57,0.79803776,85.43,168231.92
COL,Colombia,4.7106,0.07650,0.37070,0.30290,0.24980,3.706269267,,0.00%,0.307985611,,12.4528324,971.0133011,40926.47811,20%,31.24917911,7.2426475,2.367071411,69.65,1.98960035,67.41046155,866321.521,4.5925046,18.92,15111.42
CRI,Costa Rica,2.4686,0.12910,0.49600,0.21260,0.16170,4.272740345,,0.00%,0.325543128,,14.553686,832.5598238,57319.3463,17%,39.53336015,4.9398738,2.266525097,69,1.551604,69.35945283,118460.582,1.692137625,30.3,35858.55
CZE,Czechia,3.6656,0.00130,0.13350,0.66480,0.20020,3.770812459,0.44%,0.03%,1.952099299,0.00%,2.437777733,878.3869717,93690.34517,27%,34.12361185,5.905129,2.877890611,76.3,1.6723535,63.94897338,489268.228,5.4197362,56.88,42519.39
DEU,Germany,2.1124,,0.21050,0.52150,0.25780,1.192862987,0.13%,0.26%,3.134323905,0.47%,3.275555533,732.5275233,111552.4904,,60.55755657,3.1778756,2.094776891,79.5,1.739693,64.39322231,4993455.94,2.6523893,80.48,85906.81
DNK,Denmark,3.1854,,0.27310,0.39440,0.31070,1.317488917,0.31%,0.29%,2.899221595,0.20%,5.0794444,711.9844638,125142.0726,22%,65.36689444,2.5868294,2.189409624,85.25,1.996617667,63.70161315,384108.276,2.30841302,96.97,122810.05
ESP,Spain,2.3686,0.05580,0.39560,0.22000,0.31040,2.372438367,0.13%,0.03%,1.332858273,0.43%,14.60277733,701.8889611,100159.0506,20%,35.16131014,3.364081,2.291785896,77.8,1.581309333,65.91880576,2041451.3,2.7070916,67.88,67468.6
EST,Estonia,1.7292,0.00150,0.16640,0.43730,0.32450,5.93399699,2.91%,0.03%,1.63612872,,5.708888933,839.6600273,86023.08066,28%,46.32149872,7.94425,3.744850989,80.7,1.490433833,63.5009165,55777.0548,5.86409638,52.41,40894.09
FIN,Finland,2.5876,,0.22810,0.41730,0.34700,2.033450155,0.22%,0.29%,2.863749044,0.41%,7.255555533,733.1236267,113441.7936,24%,69.8420881,2.4814282,2.605105441,80.1,1.935682483,61.90281758,305889.742,2.34331012,81.31,97199.9
FRA,France,2.419,0.02040,0.26240,0.40080,0.30790,0.95163823,0.12%,0.13%,2.222379266,0.19%,8.133333533,631.4906327,122269.8587,24%,40.15809544,1.5243826,1.406812366,76.8,2.0062915,61.75298016,3497115.67,2.06005336,82.21,93040.92
GBR,United Kingdom,2.6536,0.05360,0.15420,0.26440,0.28030,1.058212792,0.18%,0.11%,2.804135519,0.00%,4.131666667,728.2453725,107338.7115,18%,37.58538889,3.5951918,1.153405469,83.55,2.146431167,63.77523202,3415221.95,3.08,69.49,97127.4
GRC,Greece,1.8605,0.02980,0.32360,0.39280,0.24830,2.552972334,,0.02%,1.363254456,-0.01%,16.8027782,837.1011007,71606.43965,12%,32.17891146,0.9924604,1.549383455,67.9,1.168960398,63.58931558,344565.595,2.09994564,49.45,55834.72
HUN,Hungary,1.329,0.00340,0.22630,0.54130,0.22330,4.105225249,,0.02%,1.554027484,1.34%,3.717777867,819.4763255,77151.69975,27%,43.1837868,8.5691694,3.194333118,73.3,1.380370252,65.46077965,358612.083,5.8469366,46.65,34157.92
IRL,Ireland,3.4834,0.00200,0.24080,0.34460,0.38130,11.80681096,0.50%,0.18%,1.181504391,,5.474999933,792.9302703,216569.3198,32%,60.27897359,3.663854,7.105964276,79.6,0.943675647,65.34163199,521298.771,2.25166962,139.12,176146.2
