abbrev,country_name,corp_tax,ed_1,ed_2,ed_3,ed_4,fdi_inward,immigration_pct,patent_pct,r_and_d,private_flow_pct,unemployment_rate,lab_util,gdp_empl,inv_pct,trust_in_gov,compensation_per_hr ,fdi_flows,ease_of_doing_biz,ed_spending,wpop_pct,gdp,infl,lab_prod,work_prod
AUS,Australia,5.53375,0.0035,0.2419,0.3385,0.3761,2.710090098,0.002669715,0.000713869,1.798561333,-0.000455301,5.148108,879.3096433,112085.6459,0.229343444,48.04608686,,2.200480953,80.95,2.01047285,65.09053185,1532581.52,2.7654163,69.19,117839.55
AUT,Austria,2.7462,,0.216,0.5149,0.2611,1.110100376,0.000372195,0.001896514,3.170525364,0.001160135,5.3983334,743.2896869,120684.5921,0.250533016,55.94134438,3.8826408,1.830183601,78.7,1.905719167,66.44210295,554725.422,3.2449448,90.12,94439.7
BEL,Belgium,3.8106,0.033,0.2667,0.3676,0.3295,2.291941131,0.000746156,0.001466161,3.210885061,0.003379229,5.7322222,661.9183356,138193.5348,0.239627732,42.20373621,2.817704,3.021469463,74.85,2.08630585,63.97063203,682266.759,3.25370716,91.63,105559.02
CAN,Canada,4.1944,0.0421,0.1035,0.2592,0.5953,2.463017423,0.004500728,0.000983157,1.727647866,0.000876866,6.8055556,843.9623459,102031.1682,0.231926791,57.54502385,3.8985454,3.122149546,79.65,1.81473135,66.12569531,2021545.11,3.02649774,66.95,89277.1
CHE,Switzerland,3.1078,0.00349144,0.175924808,0.452081423,0.351986897,-8.37298087,0.000373731,0.006479356,3.277990529,0.00627386,4.6756628,851.1131453,61777.11972,0.265402513,83.51927441,2.3700998,-5.673149944,76.6,1.166981,68.56822585,674280.57,0.79803776,85.43,168231.92
COL,Colombia,4.7106,0.0765,0.3707,0.3029,0.2498,3.706269267,,2.27592E-05,0.307985611,,12.4528324,971.0133011,40926.47811,0.196566215,31.24917911,7.2426475,2.367071411,69.65,1.98960035,67.41046155,866321.521,4.5925046,18.92,15111.42
CRI,Costa Rica,2.4686,0.1291,0.496,0.2126,0.1617,4.272740345,,3.16027E-05,0.325543128,,14.553686,832.5598238,57319.3463,0.168743277,39.53336015,4.9398738,2.266525097,69,1.551604,69.35945283,118460.582,1.692137625,30.3,35858.55
CZE,Czechia,3.6656,0.0013,0.1335,0.6648,0.2002,3.770812459,0.004429894,0.000259183,1.952099299,4.58626E-05,2.437777733,878.3869717,93690.34517,0.265459815,34.12361185,5.905129,2.877890611,76.3,1.6723535,63.94897338,489268.228,5.4197362,56.88,42519.39
DEU,Germany,2.1124,,0.2105,0.5215,0.2578,1.192862987,0.001283535,0.002643863,3.134323905,0.004659417,3.275555533,732.5275233,111552.4904,,60.55755657,3.1778756,2.094776891,79.5,1.739693,64.39322231,4993455.94,2.6523893,80.48,85906.81
DNK,Denmark,3.1854,,0.2731,0.3944,0.3107,1.317488917,0.003099838,0.002850894,2.899221595,0.002046659,5.0794444,711.9844638,125142.0726,0.218048079,65.36689444,2.5868294,2.189409624,85.25,1.996617667,63.70161315,384108.276,2.30841302,96.97,122810.05
